Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Average Score,Pass Rate
51,92,14,71,60,57.6,0
20,82,86,74,74,67.2,1
87,99,23,2,21,46.4,0
52,1,87,29,37,41.2,0
1,63,59,20,32,35.0,0
75,57,21,88,48,57.8,0
90,58,41,91,59,67.8,1
79,14,61,61,46,52.2,0
61,50,54,63,2,46.0,0
100,50,6,20,72,49.6,0
38,17,3,88,59,41.0,0
13,8,89,52,1,32.6,0
83,91,59,70,43,69.2,1
7,46,34,77,80,48.8,0
35,49,3,1,5,18.6,0
53,3,53,92,62,52.6,0
17,89,43,33,73,51.0,0
61,99,13,94,47,62.8,1
14,71,77,86,61,61.8,1
39,84,79,81,52,67.0,1
23,25,88,59,40,47.0,0
28,14,44,64,88,47.6,0
70,8,87,0,7,34.4,0
87,62,10,80,7,49.2,0
34,34,32,4,40,28.8,0
27,6,72,71,11,37.4,0
33,32,47,22,61,39.0,0
87,36,98,43,85,69.8,1
90,34,64,98,100,77.2,1
46,77,2,0,4,25.8,0
89,13,26,8,78,42.8,0
14,89,41,76,50,54.0,0
62,95,51,95,3,61.2,1
93,100,22,14,42,54.2,0
28,35,12,31,70,35.2,0
58,85,27,65,41,55.2,0
44,61,56,5,27,38.6,0
27,43,83,29,61,48.6,0
74,91,88,61,96,82.0,1
0,26,61,76,2,33.0,0
69,71,26,8,61,47.0,0
36,96,50,43,23,49.6,0
78,58,31,95,87,69.8,1
51,61,57,51,11,46.2,0
38,1,2,100,55,39.2,0
80,58,1,1,91,46.2,0
53,86,100,95,96,86.0,1
0,18,1,52,43,22.8,0
89,31,69,31,67,57.4,0
54,74,55,16,37,47.2,0
23,68,97,69,85,68.4,1
10,15,96,72,58,50.2,0
69,79,92,2,19,52.2,0
58,35,18,89,66,53.2,0
18,19,95,70,51,50.6,0
32,39,38,81,0,38.0,0
10,91,56,88,49,58.8,0
22,30,93,41,98,56.8,0
6,15,89,59,1,34.0,0
0,47,11,68,36,32.4,0
31,8,98,18,47,40.4,0
79,2,19,23,53,35.2,0
32,23,74,71,35,47.0,0
