date,city,price
1987-01-01,AZ-Phoenix,
1987-01-01,CA-Los Angeles,59.33
1987-01-01,CA-San Diego,54.67
1987-01-01,CA-San Francisco,46.61
1987-01-01,CO-Denver,50.2
1987-01-01,DC-Washington,64.11
1987-01-01,FL-Miami,68.5
1987-01-01,FL-Tampa,77.33
1987-01-01,GA-Atlanta,
1987-01-01,IL-Chicago,53.55
1987-01-01,MA-Boston,70.04
1987-01-01,MI-Detroit,
1987-01-01,MN-Minneapolis,
1987-01-01,NC-Charlotte,63.39
1987-01-01,NV-Las Vegas,66.36
1987-01-01,NY-New York,74.42
1987-01-01,OH-Cleveland,53.53
1987-01-01,OR-Portland,41.05
1987-01-01,TX-Dallas,
1987-01-01,WA-Seattle,
1987-01-01,Composite-10,62.82
1987-01-01,Composite-20,
1987-01-01,National-US,63.75
1987-02-01,AZ-Phoenix,
1987-02-01,CA-Los Angeles,59.65
1987-02-01,CA-San Diego,54.89
1987-02-01,CA-San Francisco,46.87
1987-02-01,CO-Denver,49.96
1987-02-01,DC-Washington,64.77
1987-02-01,FL-Miami,68.76
1987-02-01,FL-Tampa,77.93
1987-02-01,GA-Atlanta,
1987-02-01,IL-Chicago,54.64
1987-02-01,MA-Boston,70.08
1987-02-01,MI-Detroit,
1987-02-01,MN-Minneapolis,
1987-02-01,NC-Charlotte,63.94
1987-02-01,NV-Las Vegas,67.03
1987-02-01,NY-New York,75.43
1987-02-01,OH-Cleveland,53.5
1987-02-01,OR-Portland,41.28
1987-02-01,TX-Dallas,
1987-02-01,WA-Seattle,
1987-02-01,Composite-10,63.39
1987-02-01,Composite-20,
1987-02-01,National-US,64.15
1987-03-01,AZ-Phoenix,
1987-03-01,CA-Los Angeles,59.99
1987-03-01,CA-San Diego,55.16
1987-03-01,CA-San Francisco,47.32
1987-03-01,CO-Denver,50.15
1987-03-01,DC-Washington,65.71
1987-03-01,FL-Miami,69.23
1987-03-01,FL-Tampa,77.76
1987-03-01,GA-Atlanta,
1987-03-01,IL-Chicago,54.8
1987-03-01,MA-Boston,70.0
1987-03-01,MI-Detroit,
1987-03-01,MN-Minneapolis,
1987-03-01,NC-Charlotte,64.17
1987-03-01,NV-Las Vegas,67.34
1987-03-01,NY-New York,76.25
1987-03-01,OH-Cleveland,53.68
1987-03-01,OR-Portland,41.06
1987-03-01,TX-Dallas,
1987-03-01,WA-Seattle,
1987-03-01,Composite-10,63.87
1987-03-01,Composite-20,
1987-03-01,National-US,64.49
1987-04-01,AZ-Phoenix,
1987-04-01,CA-Los Angeles,60.81
1987-04-01,CA-San Diego,55.85
1987-04-01,CA-San Francisco,47.69
1987-04-01,CO-Denver,50.55
1987-04-01,DC-Washington,66.4
1987-04-01,FL-Miami,69.2
1987-04-01,FL-Tampa,77.56
1987-04-01,GA-Atlanta,
1987-04-01,IL-Chicago,54.88
1987-04-01,MA-Boston,70.7
1987-04-01,MI-Detroit,
1987-04-01,MN-Minneapolis,
1987-04-01,NC-Charlotte,64.81
1987-04-01,NV-Las Vegas,67.88
1987-04-01,NY-New York,77.34
1987-04-01,OH-Cleveland,53.75
1987-04-01,OR-Portland,40.96
1987-04-01,TX-Dallas,
1987-04-01,WA-Seattle,
1987-04-01,Composite-10,64.57
1987-04-01,Composite-20,
1987-04-01,National-US,64.99
1987-05-01,AZ-Phoenix,
1987-05-01,CA-Los Angeles,61.67
1987-05-01,CA-San Diego,56.35
1987-05-01,CA-San Francisco,48.31
1987-05-01,CO-Denver,50.63
1987-05-01,DC-Washington,67.27
1987-05-01,FL-Miami,69.46
1987-05-01,FL-Tampa,77.85
1987-05-01,GA-Atlanta,
1987-05-01,IL-Chicago,55.43
1987-05-01,MA-Boston,71.51
1987-05-01,MI-Detroit,
1987-05-01,MN-Minneapolis,
1987-05-01,NC-Charlotte,65.18
1987-05-01,NV-Las Vegas,67.9
1987-05-01,NY-New York,79.16
1987-05-01,OH-Cleveland,54.71
1987-05-01,OR-Portland,41.24
1987-05-01,TX-Dallas,
1987-05-01,WA-Seattle,
1987-05-01,Composite-10,65.56
1987-05-01,Composite-20,
1987-05-01,National-US,65.57
1987-06-01,AZ-Phoenix,
1987-06-01,CA-Los Angeles,62.71
1987-06-01,CA-San Diego,56.86
1987-06-01,CA-San Francisco,48.83
1987-06-01,CO-Denver,50.5
1987-06-01,DC-Washington,68.7
1987-06-01,FL-Miami,69.31
1987-06-01,FL-Tampa,78.71
1987-06-01,GA-Atlanta,
1987-06-01,IL-Chicago,56.39
1987-06-01,MA-Boston,72.32
1987-06-01,MI-Detroit,
1987-06-01,MN-Minneapolis,
1987-06-01,NC-Charlotte,65.55
1987-06-01,NV-Las Vegas,66.48
1987-06-01,NY-New York,80.84
1987-06-01,OH-Cleveland,55.12
1987-06-01,OR-Portland,41.45
1987-06-01,TX-Dallas,
1987-06-01,WA-Seattle,
1987-06-01,Composite-10,66.59
1987-06-01,Composite-20,
1987-06-01,National-US,66.24
1987-07-01,AZ-Phoenix,
1987-07-01,CA-Los Angeles,63.66
1987-07-01,CA-San Diego,57.26
1987-07-01,CA-San Francisco,49.49
1987-07-01,CO-Denver,50.28
1987-07-01,DC-Washington,69.79
1987-07-01,FL-Miami,69.7
1987-07-01,FL-Tampa,79.11
1987-07-01,GA-Atlanta,
1987-07-01,IL-Chicago,57.54
1987-07-01,MA-Boston,73.09
1987-07-01,MI-Detroit,
1987-07-01,MN-Minneapolis,
1987-07-01,NC-Charlotte,65.76
1987-07-01,NV-Las Vegas,65.43
1987-07-01,NY-New York,82.22
1987-07-01,OH-Cleveland,55.74
1987-07-01,OR-Portland,41.82
1987-07-01,TX-Dallas,
1987-07-01,WA-Seattle,
1987-07-01,Composite-10,67.54
1987-07-01,Composite-20,
1987-07-01,National-US,66.8
1987-08-01,AZ-Phoenix,
1987-08-01,CA-Los Angeles,64.56
1987-08-01,CA-San Diego,57.69
1987-08-01,CA-San Francisco,49.94
1987-08-01,CO-Denver,50.38
1987-08-01,DC-Washington,70.62
1987-08-01,FL-Miami,70.16
1987-08-01,FL-Tampa,79.14
1987-08-01,GA-Atlanta,
1987-08-01,IL-Chicago,58.37
1987-08-01,MA-Boston,73.79
1987-08-01,MI-Detroit,
1987-08-01,MN-Minneapolis,
1987-08-01,NC-Charlotte,66.08
1987-08-01,NV-Las Vegas,65.14
1987-08-01,NY-New York,83.01
1987-08-01,OH-Cleveland,56.1
1987-08-01,OR-Portland,41.9
1987-08-01,TX-Dallas,
1987-08-01,WA-Seattle,
1987-08-01,Composite-10,68.25
1987-08-01,Composite-20,
1987-08-01,National-US,67.29
1987-09-01,AZ-Phoenix,
1987-09-01,CA-Los Angeles,65.38
1987-09-01,CA-San Diego,58.14
1987-09-01,CA-San Francisco,50.69
1987-09-01,CO-Denver,50.18
1987-09-01,DC-Washington,71.79
1987-09-01,FL-Miami,70.95
1987-09-01,FL-Tampa,79.24
1987-09-01,GA-Atlanta,
1987-09-01,IL-Chicago,58.85
1987-09-01,MA-Boston,74.39
1987-09-01,MI-Detroit,
1987-09-01,MN-Minneapolis,
1987-09-01,NC-Charlotte,66.47
1987-09-01,NV-Las Vegas,65.85
1987-09-01,NY-New York,83.44
1987-09-01,OH-Cleveland,56.51
1987-09-01,OR-Portland,41.8
1987-09-01,TX-Dallas,
1987-09-01,WA-Seattle,
1987-09-01,Composite-10,68.87
1987-09-01,Composite-20,
1987-09-01,National-US,67.64
1987-10-01,AZ-Phoenix,
1987-10-01,CA-Los Angeles,66.2
1987-10-01,CA-San Diego,58.53
1987-10-01,CA-San Francisco,51.33
1987-10-01,CO-Denver,50.38
1987-10-01,DC-Washington,72.57
1987-10-01,FL-Miami,71.28
1987-10-01,FL-Tampa,79.09
1987-10-01,GA-Atlanta,
1987-10-01,IL-Chicago,59.32
1987-10-01,MA-Boston,74.63
1987-10-01,MI-Detroit,
